id	eng	amh	gaz	kqy-latin	kqy-ethiopic	hdy	ktb	sid	kbr
easter_mo	Easter Monday	የትንሣኤ ሰኞ / የማዕዶት/መሻገሪያ በዓል	Maa'idotii (Ayyaana Ce'umsaa): Dafinoo (Wixata) Ayyaana Du'aa Ka'uudhaa	Fote massala / Kristosay dendo sahay wontine Jhiisho wonte	ፎቴ መሰለ / ክርስቶሰይ ዴንዶ ሰሀይ ዎንትኔ ዢሾ ዎንቴ	Higimmi Ugudo (Ma’idoota): Kichchi Sanna	Toleenno Ayyaani Bari (Qarichchu Yesuusu Rehoochchi Keohanniichchi Zakkiin yoo Lanki Bare Sanna)	Maaidooti (tayise fulate) ayyaana	
easter+1	1st Sunday after Easter	ከትንሣኤ በኋላ 1ኛ እሑድ (ፈጸምነ)	Du'aa Ka'uu Booda Sanbata Guddaa 1ffaa (In Xumure)	Kristosay dendo geede bidzuxo Anke	ክርስቶሰይ ዴንዶ ጌዴ ብድዙሦ አንኬ	Kichchiinsi Lasage Luxxi Abba’a	Yesuusu Kiristoosu Rehoochchi Keohanniichchi Zakkiin yoo Wona Abbata	Kaote gedensaanni 1kki Sambata (goofino)	
easter+2	2nd Sunday after Easter	ከትንሣኤ በኋላ 2ኛ እሑድ	Du'aa Ka'uu Booda Sanbata Guddaa 2ffaa	Kristosay dendo geede lakkunxo Anke	ክርስቶሰይ ዴንዶ ጌዴ ለኩንሦ አንኬ	Kichchiinsi Lasage La’m Abba’a	Yesuusu Kiristoosu Rehoochchi Keohanniichchi Zakkiin yoo Lanki Abbata	Kaote gedensaanni 2kki Sambata	
easter+3	3rd Sunday after Easter	ከትንሣኤ በኋላ 3ኛ እሑድ	Du'aa Ka'uu Booddee Sanbata Guddaa 3ffaa	Kristosay dendo geede hayxo Anke	ክርስቶሰይ ዴንዶ ጌዴ ሀይሦ አንኬ	Kichchiinsi Lasage Saxxi Abba’a	Yesuusu Kiristoosu Rehoochchi Keohanniichchi Zakkiin yoo Sakki Abbata	Kaote gedensaanni 3kki Sambata	
easter+4	4th Sunday after Easter	ከትንሣኤ በኋላ 4ኛ እሑድ	Du'aa Ka'uu Booda Sanbata Guddaa 4ffaa	Kristosay dendo geede oyxo Anke	ክርስቶሰይ ዴንዶ ጌዴ ኦይሦ አንኬ	Kichchiinsi Lasage Soo’l Abba’a	Yesuusu Kiristoosu Rehoochchi Keohanniichchi Zakkiin yoo Shoolki Abbata	Kaote gedensaanni 4kki Sambata	
easter+5	5th Sunday after Easter	ከትንሣኤ በኋላ 5ኛ እሑድ	Du'aa Ka'uu Booda Sanbata Guddaa 5ffaa	Kristosay dendo geede ichicho Anke	ክርስቶሰይ ዴንዶ ጌዴ እችቾ አንኬ	Kichchiinsi Lasage Onti Abba’a	Yesuusu Kiristoosu Rehoochchi Keohanniichchi Zakkiin yoo Ontiqqi Abbata	Kaote gedensaanni 5kki Sambata	
ascension	Ascension - The Festival of the Ascension of Our Lord	የጌታ ዕርገት በዓል	Ayyaana Ol-Ba'uu	Laaxi afaa kesso massala	ላሥ አፋ ኬሶ መሰለ	Yesuus Kiristoos Iimane Marukkisa	Qarichchu Yesuusu Samaa Fullo Bari Abbiseenno Ayyaana	Mootichunniti gordo fule ha'rate ayyaana	
ascension+1	6th Sunday after Easter (Sunday after Ascension)	ከዕርገት በኋላ ያለው እሑድ	Sanbata Guddaa Ol-Ba'uu Isaa Booda Jiru	Kristosay afaa kesso geede Anke	ክርስቶሰይ አፋ ኬሶ ጌዴ አንኬ	Yesuus Kiristoos Iimane Maraa Lasaqqi Abba’a	Qarichchu Yesuusu Samaa Fullohanniichchi Zakkiin yoo Abbata	Gordo fule ha'rihu gedensaanni noo Sambata	
pentecost	Pentecost - The Festival of the Coming of the Holy Spirit	በዓለ ሃምሳ (መንፈስ ቅዱስ የወረደበት ቀን)	Ayyaana Guyyaa Shantammaffaa (Guyyaa Hafuurri Qulqulluun Gadi Bu'e)	Ichicho tanxo massala	እችቾ ተንሦ መሰለ	Ontayyi Ayyaamo	Ontaadunqi Bari indo Xummaanchu Ayyaanu Dirree Bari Abbiseenno Ayyaana	Ontayikki barri ayyaana	
pentecost+1	1st Sunday after Pentecost	ከበዓለ ሃምሳ በኋላ 1ኛ እሑድ	Ayyaana Guyyaa Shantammaffaa Booda Sanbata Guddaa 1ffaa	Ichicho tanxo massala wonta geede bidzunxo anke	እችቾ ተንሦ መሰለ ዎንተ ጌዴ ብድዙንሦ አንኬ	Ontayyi Ayyaa’m Ugudiinsi Lasonne Luxxi Abba’a	Ontaadunqi Ayyaani Bareechchi Zakkiin yoo Wona Abbata	Ontayikki barri Ayyaani gedensaanni umi Sambata	
pentecost+2	2nd Sunday after Pentecost	ከበዓለ ሃምሳ በኋላ 2ኛ እሑድ	Ayyaana Guyyaa Shantammaffaa Booda Sanbata Guddaa 2ffaa	Ichicho tanxo massala wonta geede lakkunxo anke	እችቾ ተንሦ መሰለ ዎንተ ጌዴ ለኩንሦ አንኬ	Ontayyi Ayyaa’m Ugudiinsi Lasonne La’m Abba’a	Ontaadunqi Ayyaani Bareechchi Zakkiin yoo Lanki Abbata	Ontayikki ayyaani gedensaanni 2kki Sambata	
trinity	The Festival of the Holy Trinity	የቅድሰት ሥላሴ እሑድ	Sanbata Guddaa Sadan Tokkummaa	Hayla maaqe Wonto haydzunte Anke	ሀይለ ማቄ ዎንቶ ሀይድዙንቴ አንኬ	Keesamaakkoo Saseeyyoo’m Mateeyyoo’m Abba’a	Xummaancho Sasooma Magani Abbata	Qullaawu Sillaase Sambata	
